Low Price
446.99
446.67
447.39
447.83
448.18
448.08
449.24
449.78
450.08
450.22
449.72
450.31
452.19
454.31
453.74
453.24
453.17
454.09
453.88
453.05
452.45
453.07
452.49
452.21
453.37
453.3
453.73
454.18
453.5
453.14
453.25
453.14
452.97
452.75
452.18
451.15
451.23
450.24
447.79
447.53
448.36
447.85
447.31
447.92
447.15
447.07
447.2
446.27
446.4
446.64
447.33
447.05
447.69
447.26
447.86
447.73
447.23
446.94
446.67
446.87
446.61
446.56
447.04
446.97
447.39
447.36
446.72
445.99
446.48
446.2
446.47
446.05
446.01
445.67
445.66
446.6
447.3
445.01
444.48
444.51
445
445.67
446.03
445.77
445.32
445.8
446.4
446.45
446.44
446.93
447.03
446.8
445.94
445.89
446.16
446.3
445.93
447.25
446.62
446.86
447.33
446.84
446.89
446.62
447.58
447.19
446.62
447.82
449.04
450.02
450.64
451.61
451
450.4
450.46
451.2
451.01
451.39
449.83
449.81
449.35
448.68
448.52
448.21
448.2
447.82
447.71
448.03
448
447.84
448.88
447.38
447.77
448.33
448.82
449.78
450.12
450.37
449.86
450
448.31
448.57
451.03
452.83
451.67
451.7
451.32
451.17
451.73
451.69
451.55
452.74
452
453.18
454.82
455.01
455.26
455.25
456.13
456.59
457.21
457.66
457.63
457.86
457.84
457.95
457.6
457.73
458.57
458.87
457.99
458
458.59
458.9
460.93
460.64
461.07
460.18
458.93
458.41
459.19
458.53
458.8
459.28
459.07
459.47
459.78
459.44
460.6
461.18
461.21
460.74
461.16
461.45
461.47
460.81
460.77
459.85
458.96
458.28
457.89
459.54
459.91
460.16
460.33
460.98
460.88
460.73
461.26
461.06
462.71
463.99
463.89
463.53
464.72
464.65
464.5
465.3
465.51
464.88
465.09
464.91
465.06
465.19
465.09
464.66
463.79
463.12
463.38
461.92
461.07
459.62
459.44
461.2
461.43
461.77
461.48
461.28
461.44
460.65
460.25
459.99
459.65
459.87
460.88
460.76
460.46
460.32
460.39
460.99
461.13
462.32
462.17
463.55
464.01
465.22
465.49
466.18
465.49
464.71
464.39
463.6
462.81
462.28
462.18
462
462.11
463.79
464.28
465.7
465.35
465.68
464.89
464.99
462.98
462.13
461.31
460.59
460.23
460.47
461.01
461.55
462.06
461.82
461.78
461.81
460.36
460.32
461.53
462.24
463.32
462.77
463.25
462.97
462.99
463.49
463.45
462.66
462.62
463.15
463.27
463.51
463.01
462.47
464.63
465.22
467.2
466.77
466.86
467.11
467.62
467.84
466.42
466
465.03
463.93
464.04
465.09
466.43
465.77
465.92
464.08
461.8
461.16
459.92
458.79
457.16
455.84
456.63
457.38
458.17
457.97
457.56
458.12
458.69
458.58
458.18
458.04
458.61
458.01
457.88
457.78
458.42
457.86
456.95
457.21
457.24
456.37
456.43
455.58
455.68
455.44
456.5
456.57
456.26
456.68
456.75
456.31
455.84
456.34
456.99
457.06
457.02
456
455.43
455.47
456.86
456.55
456.32
454.64
454.84
456.34
456.45
456.39
457.06
457.78
456.86
456.92
457.81
457.72
457.67
458.07
458.77
458.48
458.39
458.95
459.32
459.96
460.66
460.99
461.61
461.6
461.91
461.8
462.03
461.96
460.93
461.12
464.08
465.85
465.71
466.58
467.46
467.33
466.9
468.11
467.35
467.66
467.71
467.65
467.95
467.05
466.9
466.87
467.41
468.01
468.41
469.39
470.37
469.82
469.32
468.67
467.88
468.01
468.37
468.94
467.87
467.82
467.74
466.93
466.51
467.39
466.93
467.07
467.28
464.96
465.12
465.39
465.48
466.05
466.36
467.01
467.1
466.53
466.46
467.42
466.69
466.57
466.79
466.67
466.5
467.42
466.58
465.09
464.05
462.63
461.96
461.9
462.42
463.25
463.97
464.01
463.68
463.59
463.41
462.6
463.05
463.3
463.24
463.05
464.12
463.83
463.01
462.87
464.01
464.72
465.94
466.52
466
466.52
466.46
466.13
465.56
465.28
465.23
465.18
463.32
462.8
463.08
463.21
463.54
461.23
460.98
460.37
459.98
459.6
458.69
458.23
458.78
458.88
458.64
459.27
460.41
459.86
458.84
458.48
458.56
458.26
458.88
457.3
456.04
455.37
455.86
456.26
457.79
457.73
457.97
458.45
459.13
458.89
458.69
458.02
458.72
458.96
460.3
459.69
459.57
459.07
459.05
459.28
458.82
459.26
458.7
459.17
456.88
457.65
456.53
457.06
458.99
458.39
458.61
461.37
462.42
461.93
461.56
461.92
462.8
463.28
461.53
461.13
461.17
460.84
460.29
461.41
461.04
461.33
461.92
461.03
460.12
460.25
459.69
461.32
461.26
461.72
461.29
461.37
460.72
459.92
460.28
462.41
461.54
461.58
460.69
460.15
458.57
458.9
458.9
459.27
458.71
457.52
456.59
456.53
458.79
458.23
457.84
457.38
458.43
459.64
461.09
460.93
461.07
460.91
461.56
462.96
463.42
463.17
463.05
463.38
463.77
463.86
464.27
464.33
463.18
464.06
463.79
462.76
462.15
458.64
458.6
459.13
458.95
459.25
459.82
459.57
459
458.32
458.58
458.46
457.84
458.2
458.28
458.2
457.33
458.55
458.86
458.83
458.35
458.35
457.28
457.38
457.47
457.34
457.67
457.42
456.99
455.08
455.67
457.75
456.87
455.17
455.19
455.32
453.12
452.43
451.82
449.14
448.61
449.5
451.04
449.1
450.46
450.76
451.83
453.87
454.45
455.11
460
458.96
457.11
455.45
453.63
452.41
456.05
456.52
456.64
456.92
458.28
458.8
456.87
457.08
457.19
457.73
455.58
454.97
454.42
455.23
454.69
454.3
453.24
453.35
453.75
453.67
453.81
453.26
453.41
453.64
453.01
452.56
451.93
452.26
451.68
452.62
453.78
453.64
453.48
454.09
453.94
453.88
453.29
453.23
453.37
453.62
453.28
451.67
450.72
450.89
451.63
452.04
451.81
452.6
455.04
454.95
454.88
455.78
456
455.13
454.79
453.71
453.97
453.68
453.63
453.38
452.71
452.05
451.87
453.06
454.13
453.24
453.06
452.39
453.4
454.36
454.16
454.2
454.01
453.84
455.69
456.56
456.63
456.28
455.78
456
456.33
455.88
455.77
455.02
455.68
455.31
455.22
454.49
454.35
455.67
454.88
454.26
454.83
455.03
454.48
455.16
455.18
454.12
454.1
453.87
454.49
453.33
452.9
453.04
453.12
452.72
452.96
454.02
454.15
453.48
453.07
452.57
452.61
451.88
451.61
451.13
450.55
449.77
449.36
451.32
451.38
450.53
449.77
448.48
448.89
448.99
448.8
