Name,Id,Strength,Defense,Speed,Dexterity,Total,level,attackswon,attackslost,attacksdraw,attacksassisted,defendswon,defendslost,defendsstalemated,elo,yourunaway,theyrunaway,unarmoredwon,bestkillstreak,attackhits,attackmisses,attackdamage,bestdamage,onehitkills,attackcriticalhits,roundsfired,specialammoused,hollowammoused,tracerammoused,piercingammoused,incendiaryammoused,attacksstealthed,retals,moneymugged,largestmug,itemslooted,highestbeaten,respectforfaction,rankedwarhits,raidhits,territoryjoins,territoryclears,territorytime,jobpointsused,trainsreceived,itemsbought,auctionswon,auctionsells,itemssent,trades,cityitemsbought,pointsbought,pointssold,bazaarcustomers,bazaarsales,bazaarprofit,itemmarketcustomers,itemmarketsales,itemmarketrevenue,itemmarketfees,jailed,peoplebusted,failedbusts,peoplebought,peopleboughtspent,hospital,medicalitemsused,bloodwithdrawn,reviveskill,revives,revivesreceived,heahits,machits,rifhits,smghits,shohits,pishits,grehits,piehits,slahits,axehits,chahits,h2hhits,mailssent,friendmailssent,factionmailssent,companymailssent,spousemailssent,classifiedadsplaced,personalsplaced,criminaloffenses,vandalism,theft,counterfeiting,fraud,illicitservices,cybercrime,extortion,illegalproduction,organisedcrimes,searchforcashskill,bootleggingskill,graffitiskill,shopliftingskill,pickpocketingskill,cardskimmingskill,burglaryskill,hustlingskill,disposalskill,crackingskill,forgeryskill,scammingskill,bountiesplaced,totalbountyspent,bountiescollected,totalbountyreward,bountiesreceived,receivedbountyvalue,cityfinds,dumpfinds,itemsdumped,booksread,boostersused,consumablesused,candyused,alcoholused,energydrinkused,statenhancersused,eastereggs,eastereggsused,virusescoded,traveltimes,traveltime,itemsboughtabroad,huntingskill,attackswonabroad,defendslostabroad,argtravel,mextravel,dubtravel,hawtravel,japtravel,lontravel,soutravel,switravel,chitravel,cantravel,caytravel,drugsused,overdosed,rehabs,rehabcost,cantaken,exttaken,kettaken,lsdtaken,opitaken,pcptaken,shrtaken,spetaken,victaken,xantaken,missionscompleted,contractscompleted,dukecontractscompleted,missioncreditsearned,racingskill,racingpointsearned,racesentered,raceswon,networth,useractivity,activestreak,bestactivestreak,awards,nerverefills,tokenrefills,meritsbought,daysbeendonator,rankedwarringwins,arrestsmade,weaponsbought,dumpsearches,refills
Aime [760224],760224,"2,938,278,877","1,918,305,415","1,957,961,653","1,739,417,565","8,553,963,510",100,17418,1361,872,2439,2384,6153,37,2599,429,1053,292,501,129805,42141,216509211,19628,5306,26565,610141,35953,9876,17004,3784,5289,5594,126,5142135865,840130415,177,100,92882,565,6,3215,1111,6386409,30154,1877,6845,86,33,626,589,158754,87417,61795,1141,38047,10881956136,0,0,0,0,1818,11289,798,532,10298671,10754,57705,41172,13,76,1265,626,1081,2742,1558,322,642,1349,2517,2263,3694,694,320,2599,216,738,147,44,37,0,190552,7564,67106,15960,52506,22656,24760,0,0,384,100,100,100,100,100,100,100,100,100,100,100,100,812,202233294,1092,307962857,54,41731512,1923,1433,5210,15,640,78072,432,75523,2117,4,16,1,195,2272,9676800,57113,65,289,20,140,763,63,157,182,198,151,50,86,244,238,582,19,0,0,102,50,50,50,50,50,50,50,79,50,1,2990,2990,143889,44,27473,25374,8181,118420055842,42412036,335,823,607,2722,260,50,4583,48,0,0,0,3618
EvilCat [2686223],2686223,"1,167,193,116","362,286,051","1,168,454,869","1,461,008,498","4,158,942,534",96,7767,431,102,552,744,4290,75,2370,11,14,283,127,34239,17886,32087879,27830,2925,5611,151090,10864,2736,2710,2574,2844,3413,125,204929242,27048000,2,100,30310,1802,33,457,196,1492941,10256,244,2114,232,9,788,1949,6227,34722,1000,2323,220473,16056725678,2152,153857,9453893846,76741916,491,44,29,15,4846700,5749,9421,1632,1,3,348,184,261,2262,948,364,181,426,851,1359,1202,193,264,153,26,15,10,11,1,0,97204,10035,32753,11884,28120,4400,10012,0,0,281,100,100,100,100,100,100,100,100,100,100,100,100,1782,196128295,781,49186027,211,55769608,680,1608,8157,0,51,31502,877,29621,1004,0,27,8,104,1580,18144000,42079,12,336,115,320,57,50,50,50,177,25,402,67,257,125,4171,82,2687,589175000,50,180,3,3,0,0,2,0,8,3924,1,877,877,30828,14,2603,2965,624,52291820221,14233368,1439,1439,514,978,56,9,1418,75,0,0,0,1266
Pbthug91 [2282128],2282128,"431,467,232","597,479,190","450,261,165","321,975,458","1,801,183,045",78,2607,281,45,93,99,1272,5,2066,29,2,33,68,12144,4469,5907315,8004,577,1610,49900,7381,1818,1423,1590,2550,753,5,67715363,58080000,0,100,13742,624,1,5,0,11257,12234,1784,6400,2,85,298,59,11493,46870,7661,1452,43532,1107299775,388,23769,1673576867,53249898,177,19,12,3,1126100,1811,2361,167,1,0,133,0,12,1044,212,175,19,15,90,11,1010,103,13,19,0,5,0,0,0,0,56314,4763,19851,10030,14590,1438,5642,0,0,154,100,100,100,100,100,100,100,100,100,100,100,100,81,21039506,19,2400224,69,34884403,262,90,67,4,215,12181,2069,9261,851,0,13,9,1,1774,14860800,48744,7,50,102,186,213,252,51,32,147,51,295,286,156,105,2296,42,912,194980000,78,27,0,2,0,0,2,0,36,2151,1,247,247,7252,4,506,307,97,5313850935,4635142,743,743,392,597,55,1,836,31,0,0,0,745
roque [2557394],2557394,"1,111,313,522","1,986,748,838","1,010,831,363","1,010,049,406","5,118,943,129",100,10776,252,16,228,1007,977,5,2185,10,4,7,394,27532,7950,31321662,7087,5337,3713,60430,2537,37,500,0,2000,5221,29,176974415,22610673,0,100,46245,221,6,74,78,1069997,16288,4461,2557,10,14,50,277,6259,79849,5546,816,33363,5998002695,0,0,0,0,153,13,6,4,1487600,1961,4196,776,1,0,423,100,155,2720,142,109,149,861,4115,107,109,3072,122,43,10,19,4,0,0,0,90386,10598,20817,15479,30928,2474,10090,0,0,326,100,100,100,100,100,100,100,100,100,100,99,71,32,26565036,114,19946936,13,4270001,1194,283,5305,7,462,14990,830,9522,4638,0,28,13,8,951,12873600,25284,49,172,104,77,61,50,56,50,152,55,282,50,60,58,4240,65,2188,452510000,58,67,0,1,0,0,0,0,10,4102,1,188,188,4777,8,1431,1251,250,15022850814,6195218,301,465,474,1133,174,28,1805,47,0,0,0,1676
KatyPatra [2045308],2045308,"2,347,100,443","1,419,852,778","1,482,027,857","1,095,703,787","6,344,684,865",76,26038,2894,326,1054,981,4958,55,2311,1189,1016,303,197,84338,43141,94253179,16216,9192,16380,1023986,34288,10221,7533,6522,10012,16785,6,1973340456,58439902,4,100,106189,424,1,1764,1775,7522162,16093,1262,9860,13,0,1041,183,123969,89376,1071,1189,47485,2955001561,0,0,0,0,853,2291,611,56,19426308,10625,17370,2741,86,1859,1247,284,414,3815,1662,1343,680,412,1942,11689,3528,274,213,2511,271,1461,164,10,1,0,97541,5337,45908,5735,15234,7383,17944,0,0,482,70,40,100,75,31,92,18,67,21,100,71,47,660,292058009,852,235981456,211,135629745,945,6218,5134,9,606,14431,4567,3154,6710,2,27,1,108,2939,35596800,78453,98,2840,167,78,462,86,125,61,155,459,863,67,468,115,6637,105,6293,1312890000,351,65,1,1,4,0,0,1,47,6159,1,1697,1697,81974,9,1466,1659,250,44943239639,24136738,115,1600,539,1474,284,38,2989,50,0,0,0,2585
TequilaKing [2797424],2797424,"740,564,020","10,041,980","864,328,859","1,155,493,238","2,770,428,097",89,4480,180,82,385,1355,1213,33,2218,70,8,301,502,21092,6667,23547131,15467,2575,3446,56971,5220,1090,1529,742,1859,3023,7,172635247,26074621,10,100,18140,325,0,14,0,88701,7077,805,32703,18,36,456,126,47899,61844,14498,4012,157063,13915293041,1443,20481,6579174290,34408083,411,1291,146,3,2847800,2696,14144,3729,15,58,74,100,130,278,1226,570,102,191,1135,588,201,1153,159,291,18,17,49,1,1,0,89221,11183,23367,10539,19377,7052,17703,0,0,178,100,100,100,100,100,100,100,100,100,100,100,100,387,22384828,291,127726294,102,11053427,607,1690,5043,6,230,22585,3038,18019,1528,0,29,9,100,1217,13910400,33236,50,134,94,53,167,51,60,52,112,69,326,51,158,118,3238,60,1029,218850000,274,50,50,50,50,50,50,50,14,2600,1,441,441,13955,14,3548,3311,816,19083738107,14838177,1044,1044,507,894,70,42,1043,40,0,0,0,946
Drixxum [1602711],1602711,"311,604,674","337,758,216","242,212,877","492,686,090","1,384,261,857",15,6514,452,140,70,238,2122,7,1807,107,6,204,262,19172,2892,10859119,5394,3841,2851,220149,117,42,50,0,25,5218,0,145722294,6466398,0,100,14362,281,0,96,0,187320,16075,1017,91757,10,5,65,361,45324,17992,4250,2037,1205432,12046455590,0,0,0,0,381,8,7,22,3918090,3081,10233,8578,100,3945,235,167,402,473,322,126,152,104,2390,125,2009,336,133,733,13,68,38,0,0,0,102374,7858,46543,13159,23246,2628,8940,0,0,433,100,100,100,100,100,100,100,100,100,100,100,100,168,33631754,108,15316754,47,3736003,1902,4108,5201,3,2,19604,732,18854,18,0,31,2,75,526,5270400,14096,66,9,166,158,86,3,3,3,50,26,41,16,76,64,4279,30,227,46600000,2611,3,50,87,1,10,23,2,2,1489,1,347,347,9653,11,1050,2155,104,38807048228,6646201,13,444,473,672,8,7,2197,42,0,0,0,784
Pampa [46937],46937,"1,876,868,395","1,446,956,360","1,684,348,469","1,264,393,221","6,272,566,445",100,7597,384,17,161,428,4962,10,2372,18,7,1,200,27533,14628,30498995,6875,2031,4472,71460,0,0,0,0,0,2270,51,298394390,15571184,0,100,45908,225,0,110,61,2113262,31162,1222,2085,2,8,59,20,16240,334031,296930,1215,3936,36887871804,0,0,0,0,1283,1923,133,2,3187125,6540,6072,274,2,5,372,530,0,1876,45,334,264,744,2576,308,1248,0,23,1236,121,176,83,27,0,0,58851,1365,13050,2979,29976,2375,9106,0,0,327,80,80,81,63,60,65,57,52,96,54,50,20,20,9589838,37,6296031,50,18011217,959,153,38,1,448,3992,6,2179,1807,0,8,2,15,827,7862400,2361,30,33,120,3,21,1,7,44,2,12,716,1,8,12,4916,97,8893,1844350000,1,12,0,0,1,0,0,0,74,4828,1,253,253,6606,7,873,946,136,46595597798,6136492,111,1089,405,295,19,50,3179,46,0,0,0,1830
Vayne [1476986],1476986,"13,021,336,293","3,741,886,126","4,234,086,759","44,128,683,255","65,125,992,433",100,14620,427,576,802,13993,2811,125,2979,433,1058,368,2530,82228,35118,127816553,25567,14293,16360,340865,19608,3010,3705,2575,10318,5179,380,8469782188,365145600,20,100,117571,1032,87,765,283,2773171,19392,1219,1343,28,411,2494,1854,11184,154090,10437,895,36894,54213875982,0,0,0,0,364,802,162,506,273392591,3786,7271,1249,99,2839,265,423,4262,7589,1428,114,1685,1019,3069,4879,2740,106,1019,7709,703,2355,174,27,10,0,126193,10054,61695,15582,24835,583,13444,0,0,401,100,100,100,100,100,100,100,100,100,100,100,96,321,107593901,602,50239508,235,49999213,1188,1010,17167,24,1220,20261,503,860,18898,584,20,8,100,929,7862400,18041,11,104,9,50,208,6,51,50,51,60,266,50,68,69,5963,119,5542,1175300000,130,50,50,50,50,50,50,50,60,5418,1,480,480,19328,13,2502,3263,531,1104406664965,29873229,1719,1719,568,1374,126,50,2591,39,0,0,0,1933
RTmang [2356107],2356107,"1,456,972,615","1,189,902,827","890,348,821","463,917,221","4,001,141,484",95,6674,2589,31,364,140,1406,5,2326,15,14,15,208,18981,11184,18300203,15089,2206,2389,71214,16060,4652,3154,5257,2997,1327,57,109227066,21802244,1,100,39235,1140,0,89,11,512378,5851,1072,3616,0,0,77,62,13971,28553,9250,1136,57533,5169748337,0,0,0,0,288,7,8,1,1246163,4291,7084,1077,1,0,257,106,104,1368,676,144,117,875,1822,547,132,802,117,156,0,23,4,0,0,0,62331,2939,27360,8852,17073,1352,4755,0,0,274,100,100,100,100,100,100,100,100,100,100,100,100,41,5040350,99,20376876,111,7816009,1032,54,3841,2,22,24591,20425,124,4042,0,17,1,1,1474,19699200,40630,1,495,120,569,51,97,82,17,53,9,270,136,66,124,3648,74,2194,451690000,2,89,0,0,0,0,0,0,10,3546,1,348,348,8715,8,1306,1192,222,10599063695,4526821,1439,1439,427,403,0,0,1406,38,0,0,0,1321
